Publication,Ecosystem Name (Initial),Initial_Land_Use,Ecosystem Name (Final),Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID,Time,Max_Rate,Avg_Rate,Exp_Rate
Pregitzer & Palik (1996),Cultivated,Cropland,Pine Plantation,Forest,WK Kellogg Experimental Forest,GreatLakes,GLU227,1,50,-8.56,-4.44,-0.00444
Pregitzer & Palik (1996),Cultivated,Cropland,Pine Plantation,Forest,WK Kellogg Experimental Forest,GreatLakes,GLU227,1,50,-5.27,-2.78,-0.00278
Zak et al. (1990),Old field succession,Cropland,Northern hardwoods,Forest,"Cedar Creek Natural History Area, MN",MissppRN,GLU218,1,,16.03,15.06,0.01506
"	Jenkinson (1971)",Long term agriculture,Cropland,Oak forest,Forest,"Rothhamsted, England",EngWales,GLU026,12,83,61.7,15.06,0.01506
Jenkinson (1971),Long term agriculture,Cropland,Oak forest (p amended),Forest,"Rothhamsted, England",EngWales,GLU026,12,82,33.3,28,0.028
Robertson & Vitousek (1981),Old field succession,Cropland,Mixed oak stand,Forest,"Indiana Dunes, 41 42' N, 87 1' W",GreatLakes,GLU227,1,,28.3,9.4,0.0094
Robertson & Tiedje (1984),Old field succession,Cropland,Northern hardwoods,Forest,Michigan,GreatLakes,GLU227,1,,17.3,11.6,0.0116
Wilde (1964),Old field,Cropland,Managed pine plantation,Forest,Wisconsin,MissppRN,GLU218,1,,,65.66,0.06566
Hamburg (1984),Abandoned Field,Cropland,Mixed Forest,Forest,,,,,,23.9,2.15,0.00215
Beke (1990),Constructed dike,UrbanLand,Forest,Forest,Minas Basin,UsaCstNE,GLU232,8,100,,26.3,0.0263
Leisman (1957),Mine spoil,RockIceDesert,Forest,Forest,Mesabi Range,NelsonR,GLU023,1,21,,50.09,0.05009
Leisman (1957),Mine spoil,RockIceDesert,Forest,Forest,Mesabi Range,NelsonR,GLU023,1,32,,19.9,0.0199
Leisman (1957),Mine spoil,RockIceDesert,Forest,Forest,Mesabi Range,NelsonR,GLU023,1,41,,38.4,0.0384
