GCAM_region_ID,Land_Type,GLU,soil_c,veg_c,mature age
1,Forest,GLU007,30.24850683,4.589802423,50
1,Forest,GLU023,19.52270227,6.738361623,50
1,Forest,GLU027,22.47083558,18.64708356,50
1,Forest,GLU096,5,1.5,50
1,Forest,GLU101,11.59257715,7.530334406,39.32096192
1,Forest,GLU217,12.9604441,13.19704245,50
1,Forest,GLU218,10.87311404,7.461333918,50
1,Forest,GLU219,7.61850696,10.84159379,50
1,Forest,GLU220,11.15336575,6.402089627,50
1,Forest,GLU221,8.04538424,5.980412034,50
1,Forest,GLU222,10.60240953,6.70129744,50
1,Forest,GLU223,10.33631118,7.716690914,50
1,Forest,GLU224,7.149196537,10.00084345,50
1,Forest,GLU225,7.050112504,10.10111059,50
1,Forest,GLU226,8.859900887,11.1147199,49.9977571
1,Forest,GLU227,17.97473744,9.491637505,50
1,Forest,GLU228,10.00004302,10.98469366,50
1,Forest,GLU229,15.96002563,16.43440837,50
1,Forest,GLU230,8.68650338,11.55423581,50
1,Forest,GLU231,10.17168522,5.035786271,50
1,Forest,GLU232,20.47567859,9.33165977,50
1,Forest,GLU233,14.95317018,10.69068394,49.99293937
1,Grassland,GLU007,33,2.1,10
1,Grassland,GLU023,12,1.604164478,10.02546136
1,Grassland,GLU027,22,4.8,10
1,Grassland,GLU096,4,0.895533022,10
1,Grassland,GLU101,14.80089742,4.85847577,10.66839707
1,Grassland,GLU217,8,2.297294068,10.46038817
1,Grassland,GLU218,10,2.40760442,10.07497124
1,Grassland,GLU219,15.18381421,3.843471641,10.12935074
1,Grassland,GLU220,9,1.4,10
1,Grassland,GLU221,5,0.9,10
1,Grassland,GLU222,8,1.05399532,10
1,Grassland,GLU223,7.999390473,1.201284667,10.01158101
1,Grassland,GLU224,7.003029946,1.314675339,10.05756898
1,Grassland,GLU225,6.990386726,1.594827384,10.18265221
1,Grassland,GLU226,14.06223145,4.986577154,10.09853313
1,Grassland,GLU227,14.99402449,4.583196437,10.02838367
1,Grassland,GLU228,8.995792071,4.092163956,10.07995064
1,Grassland,GLU229,10,2.80262451,10
1,Grassland,GLU230,8,4.810570661,10
1,Grassland,GLU231,5,0.598886504,10.21156425
1,Grassland,GLU232,19,5.182243356,10
1,Grassland,GLU233,15,5.499993135,10
1,Grassland,GLU234,29,4.887866304,10
1,RockIceDesert,GLU007,8.819836289,0.004411535,50
1,RockIceDesert,GLU217,2,0.174484251,50
1,RockIceDesert,GLU222,6.018115012,0.198520217,50
1,RockIceDesert,GLU231,10,0.2,50
1,Shrubland,GLU007,32.99847434,2.228085633,49.99651278
1,Shrubland,GLU096,3.265070181,0.573464423,41.5177542
1,Shrubland,GLU217,4.46494914,1.233664291,45.04054251
1,Shrubland,GLU220,5.223155295,0.355788824,46.42951529
1,Shrubland,GLU221,3.535076419,0.451086854,41.4387773
1,Shrubland,GLU222,4.313396635,0.341786218,46.65710256
1,Shrubland,GLU223,7.262913886,0.828542967,45.79337782
1,Shrubland,GLU224,5.434712356,0.908193828,36.0892046
1,Shrubland,GLU225,7.152734847,1.421882979,24.77812122
1,Shrubland,GLU226,26,3.1,50
1,Shrubland,GLU229,7.103408981,0.9710858,48.89697087
1,Shrubland,GLU231,4.136589047,0.327280376,45.62915051
1,Tundra,GLU007,31,1.904292446,50
