Publication,Ecosystem Name (Initial),Initial_Land_Use,Ecosystem Name (Final),Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID,Time,Avg_Rate,Exp_Rate,Initial_C,Final_C,Initial_Percent_C,Final_Percent_C,Initial_Bulk_Density,Final_Bulk_Density,Notes
Robles & Burke (1998),Cultivated,Cropland,Seeded Grass,Grassland,"Southeastern Wyoming, 46 50' N, 104 39' W",MissouriR,GLU223,1,6,0,0,1,1,,,,,"rate = 0, so the ratio should be 1 and values aren't really needed"
Neil et al. (1997),Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,7,-14.29,-0.01429,6200,6100,,,,,Porto Velho
Neil et al. (1997),Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,7,83.18,0.08318,2566.08,3148.32,,,,,Porto Velho -- all values = density * C *100
Neil et al. (1997),Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,8,-4.02,-0.00402,1833.98,1801.8,,,,,Calcaulandia
Neil et al. (1997),Mature forest ,Forest,Cleared to pasture ,Pasture,Rondonia,AmazonR,GLU168,7,8,-90,-0.09,3930,3210,,,,,Calcaulandia
White et al. (1976),Cultivated,Cropland,Improved pasture (Russian wildrye),Pasture,North-central South Dakota,MissouriR,GLU223,1,8,6.86,0.00686,70,,,,,,
White et al. (1976),Cultivated,Cropland,Improved pasture (Crested wheatgrass),Pasture,North-central South Dakota,MissouriR,GLU223,1,8,18.87,0.01887,70,,,,,,
White et al. (1976),Cultivated,Cropland,Improved pasture (B-I-ALF (full)),Pasture,North-central South Dakota,MissouriR,GLU223,1,8,14.01,0.01401,70,,,,,,
White et al. (1976),Cultivated,Cropland,Improved pasture (B-I-ALF (short)),Pasture,North-central South Dakota,MissouriR,GLU223,1,8,34.15,0.03415,70,,,,,,
Desjardins et al. (1994),Native forest,Forest,Pasture,Pasture,"Empresa Brasileira de Pesquisa Agropecuaria, Brasil",BrzCstS,GLU195,7,10,-30,-0.03,4700,4400,,,,,
