Data source,Region,Forest types,Time,Age types,Texture,depth,OC_decrease,References,Initial_Land_Use,Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID
"Li and Richter, 2012",America,Temperate forest,207,>50 yr,loam,0-7.5 cm,44,"Li JW, Richter DD. 2012. Effects of two-century land use changes on soil iron crystallinity and accumulation in Southeastern Piedmont region, USA. Geoderma, 173-174: 184-186",Forest,Cropland,Calhoun Experiment Forest,UsaCstSE,GLU226,1
"Li and Richter, 2013",America,Temperate forest,207,>50 yr,loam,0-7.5 cm,48.48484848,"Li JW, Richter DD. 2012. Effects of two-century land use changes on soil iron crystallinity and accumulation in Southeastern Piedmont region, USA. Geoderma, 173-174: 184-187",Forest,Cropland,Calhoun Experiment Forest,UsaCstSE,GLU226,1
"Li and Richter, 2014",America,Temperate forest,207,>50 yr,loam,0-7.5 cm,65.51724138,"Li JW, Richter DD. 2012. Effects of two-century land use changes on soil iron crystallinity and accumulation in Southeastern Piedmont region, USA. Geoderma, 173-174: 184-188",Forest,Cropland,Calhoun Experiment Forest,UsaCstSE,GLU226,1
"Li and Richter, 2015",America,Temperate forest,57,>50 yr,loam,0-7.5 cm,48,"Li JW, Richter DD. 2012. Effects of two-century land use changes on soil iron crystallinity and accumulation in Southeastern Piedmont region, USA. Geoderma, 173-174: 184-189",Forest,Cropland,Calhoun Experiment Forest,UsaCstSE,GLU226,1
"Li and Richter, 2016",America,Temperate forest,57,>50 yr,loam,0-7.5 cm,78.78787879,"Li JW, Richter DD. 2012. Effects of two-century land use changes on soil iron crystallinity and accumulation in Southeastern Piedmont region, USA. Geoderma, 173-174: 184-190",Forest,Cropland,Calhoun Experiment Forest,UsaCstSE,GLU226,1
"Li and Richter, 2017",America,Temperate forest,57,>50 yr,loam,0-7.5 cm,62.06896552,"Li JW, Richter DD. 2012. Effects of two-century land use changes on soil iron crystallinity and accumulation in Southeastern Piedmont region, USA. Geoderma, 173-174: 184-191",Forest,Cropland,Calhoun Experiment Forest,UsaCstSE,GLU226,1
"Beheshti et al., 2012",Iran,Temperate forest,40,11-50 yr,clayey,0-20 cm,45.17374517,"Beheshti A, Raiesi F, Golchin A. 2012. Soil properties, C fractions and their dynamics in land use conversion from native forests to croplands in northern Iran. Agriculture, Ecosystems and Environment, 148: 121-133",Forest,Cropland,near Paresar town in Gilan province,CaspianSW,GLU072,27
"Beheshti et al., 2013",Iran,Temperate forest,70,>50 yr,clayey,0-20 cm,69.10569106,"Beheshti A, Raiesi F, Golchin A. 2012. Soil properties, C fractions and their dynamics in land use conversion from native forests to croplands in northern Iran. Agriculture, Ecosystems and Environment, 148: 121-134",Forest,Cropland,near Paresar town in Gilan province,CaspianSW,GLU072,27
"Pardo et al., 2012",Tanzania,Tropical forest,30,11-50 yr,,0-10cm,32.5203252,"Pardo MT, Almendros G, Zancada MC, López-Fando C, González-Vila FJ. 2012. Cultivation-induced effects on the organic matter in degraded Southern African soils. Communications in Soil Science and Plant Analysis, 43: 541-555",Forest,Cropland,"Mkindo and Mafiga, TZ",AfrCstE,GLU171,4
"Pardo et al., 2013",Tanzania,Tropical forest,10,<=10 yr,,0-10cm,53.37423313,"Pardo MT, Almendros G, Zancada MC, López-Fando C, González-Vila FJ. 2012. Cultivation-induced effects on the organic matter in degraded Southern African soils. Communications in Soil Science and Plant Analysis, 43: 541-556",Forest,Cropland,"Mkindo and Mafiga, TZ",AfrCstE,GLU172,4
,Zimbabwe,Tropical forest,36,11-50 yr,,0-10cm,43.28358209,"Pardo MT, Almendros G, Zancada MC, López-Fando C, González-Vila FJ. 2012. Cultivation-induced effects on the organic matter in degraded Southern African soils. Communications in Soil Science and Plant Analysis, 43: 541-557",Forest,Cropland,,,,
,,Tropical forest,36,11-50 yr,,0-10cm,38.23529412,"Pardo MT, Almendros G, Zancada MC, López-Fando C, González-Vila FJ. 2012. Cultivation-induced effects on the organic matter in degraded Southern African soils. Communications in Soil Science and Plant Analysis, 43: 541-558",Forest,Cropland,,,,
,South Africa,Tropical forest,20,11-50 yr,,0-10cm,52.17391304,"Pardo MT, Almendros G, Zancada MC, López-Fando C, González-Vila FJ. 2012. Cultivation-induced effects on the organic matter in degraded Southern African soils. Communications in Soil Science and Plant Analysis, 43: 541-559",Forest,Cropland,,,,
,,Tropical forest,20,11-50 yr,,0-10cm,39.6039604,"Pardo MT, Almendros G, Zancada MC, López-Fando C, González-Vila FJ. 2012. Cultivation-induced effects on the organic matter in degraded Southern African soils. Communications in Soil Science and Plant Analysis, 43: 541-560",Forest,Cropland,,,,
"Jaiarree et al., 2011",Thailand,Tropical forest,4,<=10 yr,clay loam,0-10cm,28.41304862,"Jaiarree S, Chidthaisong A, Tangtham N, Polprasert C, Sarobol E, Tyler SC. 2011. Soil organic carbon loss and turnover resulting from forest conversion to maize fields in Eastern Thailand. Pedosphere, 21: 581-590",Forest,Cropland,"Nong Plasio Village, Tha Ta Kieb District, Cha Cherngsao Province,
in eastern Thailand",Mekong,GLU125,29
"Jaiarree et al., 2012",Thailand,Tropical forest,8,<=10 yr,clay loam,0-10cm,52.30165446,"Jaiarree S, Chidthaisong A, Tangtham N, Polprasert C, Sarobol E, Tyler SC. 2011. Soil organic carbon loss and turnover resulting from forest conversion to maize fields in Eastern Thailand. Pedosphere, 21: 581-591",Forest,Cropland,"Nong Plasio Village, Tha Ta Kieb District, Cha Cherngsao Province,
in eastern Thailand",Mekong,GLU125,29
"Jaiarree et al., 2013",Thailand,Tropical forest,11,11-50 yr,clay loam,0-10cm,58.58641966,"Jaiarree S, Chidthaisong A, Tangtham N, Polprasert C, Sarobol E, Tyler SC. 2011. Soil organic carbon loss and turnover resulting from forest conversion to maize fields in Eastern Thailand. Pedosphere, 21: 581-592",Forest,Cropland,"Nong Plasio Village, Tha Ta Kieb District, Cha Cherngsao Province,
in eastern Thailand",Mekong,GLU125,29
"Ayoubi et al., 2011",Iran,Temperate forest,40,11-50 yr,clay loam,0-30 cm,71.00775194,"Ayoubi S, Khormali F, Sahrawat KL, Rodrigues de Lima AC. 2011. Assessing impacts of land use change on soil quality indicators in a loessial soil in Golestan Province, Iran. Journal of Agricultural Science and Technology, 13: 727-742",Forest,Cropland,10 km east of Gorgan City,CaspianE,GLU052,27
"Matus et al., 2011",Mexico,Tropical forest,30,11-50 yr,clay loam,0-20 cm,14.89361702,"Matus F, Hidalgo C, Monreal C, Estrada I, Fuentes M, Etchevers J. 2011. Land use impacts on physical-based soil organic matter fractions on three hillside ferrasols in Mexico. Chilean Journal of Agricultural Research, 71: 283-292",Forest,Cropland,"Cuicateca, Mazateca, and Mixe, Oaxaca",Tehuantpc,GLU136,20
"Matus et al., 2012",Mexico,Tropical forest,60,>50 yr,clayey,0-20 cm,-21.95845697,"Matus F, Hidalgo C, Monreal C, Estrada I, Fuentes M, Etchevers J. 2011. Land use impacts on physical-based soil organic matter fractions on three hillside ferrasols in Mexico. Chilean Journal of Agricultural Research, 71: 283-293",Forest,Cropland,"Cuicateca, Mazateca, and Mixe, Oaxaca",Tehuantpc,GLU136,20
"Matus et al., 2013",Mexico,Tropical forest,9,<=10 yr,clay loam,0-20 cm,45.49248748,"Matus F, Hidalgo C, Monreal C, Estrada I, Fuentes M, Etchevers J. 2011. Land use impacts on physical-based soil organic matter fractions on three hillside ferrasols in Mexico. Chilean Journal of Agricultural Research, 71: 283-294",Forest,Cropland,"Cuicateca, Mazateca, and Mixe, Oaxaca",Tehuantpc,GLU136,20
"Papini et al., 2011",Italy,Temperate forest,60,>50 yr,clayey,0-10cm,89.0943226,"Papini R, Valboa G, Favilli F, L’Abate G. 2011. Influence of land use on organic carbon pool and chemical properties of Vertic Cambisols in central and southern Italy. Agriculture, Ecosystems and Environment 140, 68-79",Forest,Cropland,Calabria,,,
"Llorente et al., 2011",Spain,Temperate forest,200,>50 yr,clay loam,0-10cm,48.70848708,"Llorente M, Glaser B, Turrión MB.2011. Storage of organic carbon and black carbon in density fractions of calcareous soils under different land uses. Geoderma, 159: 31-38",Forest,Cropland,"Castilla y León, Spain",DouroR,GLU074,12
